canonical_song_id,canonical_title,canonical_artist,canonical_entry_count,alias_song_title,alias_artist,alias_entry_count,week_count,first_chart_date,last_chart_date
2141,Pumps and a Bump,Hammer,3,Pumps and a Bump,Hammer,1,1,2014-11-11,2014-11-11
93,Ain't No Fun (Original Gangstas),Dino of H-Town feat. Teddy,258,Ain't No Fun (Original Gangstas),Dino of H-Town feat. Teddy,257,257,2010-07-06,2017-05-02
93,Ain't No Fun (Original Gangstas),Dino of H-Town feat. Teddy,258,Ain't No Fun (Original Gangstas),Dino of H-Town featuring Teddy,1,1,2016-10-04,2016-10-04
1380,In the Heat of the Night,Bill Champlin,152,In the Heat of the Night,Bill Champlin,151,151,2013-12-31,2020-10-11
1380,In the Heat of the Night,Bill Champlin,152,In The Heat of the Night,Bill Champlin,1,1,2016-05-03,2016-05-03
2680,Take Your Time,Raja-Nee,119,Take Your Time,Raja-Nee,116,116,2013-01-22,2020-07-21
2680,Take Your Time,Raja-Nee,119,Take Your Time,Raja-Nee',3,3,2020-08-04,2020-08-18
1956,Nymphomaniac,T3 feat. 1095 FS Crew,115,Nymphomaniac,T3 feat. 1095 FS Crew,114,114,2012-07-24,2023-06-06
1956,Nymphomaniac,T3 feat. 1095 FS Crew,115,Nymphomaniac,T3 featuring 1095 FS Crew,1,1,2016-08-02,2016-08-02
2574,Stilettos and T-Shirt,Bobby V. feat. Nicki Minaj,113,Stilettos and T-Shirt,Bobby V. feat. Nicki Minaj,112,112,2018-05-29,2022-03-29
2574,Stilettos and T-Shirt,Bobby V. feat. Nicki Minaj,113,Stilettos and T-Shirt,Bobby V feat. Nicki Minaj,1,1,2019-06-04,2019-06-04
1670,Love Me,Lil' Wayne feat. Drake; Future,107,Love Me,Lil' Wayne feat. Drake; Future,84,84,2014-07-08,2016-04-12
1670,Love Me,Lil' Wayne feat. Drake; Future,107,Love Me,Lil Wayne feat. Drake; Future,23,23,2020-01-28,2024-02-13
2748,The Descent,Kevin MacLeod,107,The Descent,Kevin MacLeod,104,104,2014-07-22,2021-08-03
2748,The Descent,Kevin MacLeod,107,The Descent,Kevin Macleod,3,3,2023-09-12,2023-09-26
2507,Something Real,Trae tha Truth; Slim Thug; Plies; Jodeci; Brian Angel,87,Something Real,Trae tha Truth; Slim Thug; Plies; Jodeci; Brian Angel,86,86,2014-08-26,2021-07-06
2507,Something Real,Trae tha Truth; Slim Thug; Plies; Jodeci; Brian Angel,87,Something Real,Trae tha Truth; Slim Thug; Plies; Jodeci;Brian Angel,1,1,2016-08-30,2016-08-30
1308,I'd Rather F**k You,N.W.A.,86,I'd Rather F**k You,N.W.A.,69,69,2013-04-02,2016-08-09
1308,I'd Rather F**k You,N.W.A.,86,I'd Rather F**k You,N.W.A,17,17,2015-08-04,2021-02-23
2098,Please Excuse My Hands,Plies feat. Jamie Foxx; The-Dream,85,Please Excuse My Hands,Plies feat. Jamie Foxx; The-Dream,81,81,2008-10-14,2015-03-17
2098,Please Excuse My Hands,Plies feat. Jamie Foxx; The-Dream,85,Please Excuse My Hands,Plies feat. Jamie Foxx; The Dream,4,4,2009-12-15,2010-01-05
142,Always Showing Love,Bobby V.,83,Always Showing Love,Bobby V.,82,82,2018-06-12,2020-03-24
142,Always Showing Love,Bobby V.,83,Always Showing Love,Bobby V,1,1,2019-06-04,2019-06-04
2519,SOS (Sex on Sight),Victoria Monét feat. USHER,74,SOS (Sex on Sight),Victoria Monét feat. USHER,51,51,2025-02-11,2026-02-03
2519,SOS (Sex on Sight),Victoria Monét feat. USHER,74,SOS (Sex on Sight),Victoria Monét feat. Usher,23,23,2024-09-03,2025-02-04
3196,You Don't Have to Cry,Adina Howard feat. Michael Speaks,72,You Don't Have to Cry,Adina Howard feat. Michael Speaks,71,71,2007-01-02,2016-07-26
3196,You Don't Have to Cry,Adina Howard feat. Michael Speaks,72,You Don't Have to Cry,Adina Howard f/Michael Speaks,1,1,2007-12-25,2007-12-25
38,30 For 30,SZA; Kendrick Lamar,64,30 For 30,SZA; Kendrick Lamar,52,52,2024-12-31,2026-04-07
38,30 For 30,SZA; Kendrick Lamar,64,30 for 30,SZA; Kendrick Lamar,12,12,2025-02-11,2025-04-29
2392,She's Bangin',Meaku feat. Banky W,64,She's Bangin',Meaku feat. Banky W,63,63,2024-12-17,2026-04-07
2392,She's Bangin',Meaku feat. Banky W,64,She's Bangin',Meaku feat. Banky W.,1,1,2024-12-10,2024-12-10
2562,Stay Awhile,foggieraw feat. Ari Lennox,62,Stay Awhile,foggieraw feat. Ari Lennox,39,39,2024-05-14,2025-02-04
2562,Stay Awhile,foggieraw feat. Ari Lennox,62,Stay Awhile,Foggieraw feat. Ari Lennox,23,23,2025-02-11,2025-08-05
306,Black Opium,Jake&Papa,59,Black Opium,Jake&Papa,58,58,2015-06-23,2017-05-30
306,Black Opium,Jake&Papa,59,Black Opium,Jake & Papa,1,1,2015-06-30,2015-06-30
3209,You Look So Good to Me,James A. Johnston,59,You Look So Good to Me,James A. Johnston,57,57,2003-03-25,2016-02-09
3209,You Look So Good to Me,James A. Johnston,59,You Look So Good To Me,James A. Johnston,2,2,2012-03-06,2012-10-23
2713,Textin My Ex,T-Pain feat. Tiffany Evans,56,Textin My Ex,T-Pain feat. Tiffany Evans,54,54,2018-01-09,2019-07-16
2713,Textin My Ex,T-Pain feat. Tiffany Evans,56,Textin' My Ex,T-Pain feat. Tiffany Evans,2,2,2017-12-26,2018-01-02
297,Black and Yellow,Wiz Khalifa,55,Black and Yellow,Wiz Khalifa,54,54,2011-08-09,2020-10-11
297,Black and Yellow,Wiz Khalifa,55,Black & Yellow,Wiz Khalifa,1,1,2012-05-15,2012-05-15
1731,Making Love In the Rain,Herb Alpert feat. Lisa Keith; Janet Jackson,52,Making Love In the Rain,Herb Alpert feat. Lisa Keith; Janet Jackson,31,31,2005-03-01,2019-01-01
1731,Making Love In the Rain,Herb Alpert feat. Lisa Keith; Janet Jackson,52,Making Love in the Rain,Herb Alpert feat. Lisa Keith; Janet Jackson,21,21,2004-05-04,2015-10-27
329,Body on Mine,Jake&Papa,49,Body on Mine,Jake&Papa,48,48,2015-06-23,2016-05-24
329,Body on Mine,Jake&Papa,49,Body on Mine,Jake & Papa,1,1,2015-06-30,2015-06-30
2670,Take It To Da House,Trick Daddy feat. The Slip-n-Slide Express,46,Take It To Da House,Trick Daddy feat. The Slip-n-Slide Express,37,37,2025-05-06,2026-01-20
2670,Take It To Da House,Trick Daddy feat. The Slip-n-Slide Express,46,Take It to da House,Trick Daddy feat. The Slip-N-Slide Express,9,9,2025-03-04,2025-04-29
514,Close To You,Dreezy feat. T-Pain,44,Close To You,Dreezy feat. T-Pain,43,43,2016-11-01,2019-06-04
514,Close To You,Dreezy feat. T-Pain,44,Close to You,Dreezy feat. T-Pain,1,1,2016-11-08,2016-11-08
138,Along the Way,Ryan Farish,43,Along the Way,Ryan Farish,39,39,2016-01-12,2018-02-13
138,Along the Way,Ryan Farish,43,Along The Way,Ryan Farish,4,4,2017-12-26,2018-01-16
1871,Need to Know,Doja Cat,43,Need to Know,Doja Cat,27,27,2021-12-07,2022-06-07
1871,Need to Know,Doja Cat,43,Need To Know,Doja Cat,16,16,2022-10-11,2025-10-28
939,Get It Wet,Twista feat. Miss Kane,42,Get It Wet,Twista feat. Miss Kane,41,41,2005-04-19,2006-04-18
939,Get It Wet,Twista feat. Miss Kane,42,Get It Wet,Twista f/Miss Kane,1,1,2006-03-28,2006-03-28
2146,Pure Heat,Danny Pelfrey; Rick Rhodes,42,Pure Heat,Danny Pelfrey; Rick Rhodes,41,41,2009-11-10,2017-10-17
2146,Pure Heat,Danny Pelfrey; Rick Rhodes,42,Pure Heat,"Danny Pelfrey, Rick Rhodes",1,1,2019-03-05,2019-03-05
598,Dang!!!!,Lil' Flip feat. H-Town,40,Dang!!!!,Lil' Flip feat. H-Town,39,39,2014-10-28,2015-07-28
598,Dang!!!!,Lil' Flip feat. H-Town,40,Dang!!!!,Lil' Flip featuring H-Town,1,1,2015-03-24,2015-03-24
1344,I'm Going for Mine,Keith Sweat,40,I'm Going for Mine,Keith Sweat,27,27,2010-05-11,2023-02-14
